resourceid,Email,lab,ID,status,title,location,zipcode,age,filename,transcription,topic,type,keywords,credit,lables,insta,hashtag,twitter,facebook
5077,,Logan Circle,LS194,Transcribed,[Untitled],Independence Hall,,,LS194_20171115_0001.jpg,a monument to LGBT+ equality movement in Philadelphia from the 60s thru the 80s specifically to Barbara Gettings + the march,"History, LGBTQ+, Philadelphia, Social Justice",Other No Form,"LGBT+, equality, Barbara Gittings",,,,,,
5076,,Logan Circle,LS193,Transcribed,Love Park 2.0,,19146,34,LS193_20171115_0001.jpg,"A skatable monument 

*See Copenhagen Christiana Section",Philadelphia,"Interactive, Space, Park","skate, skatable, free",,"LOVE 

-FREE",livelaughlem,,,
5075,,Marconi Plaza,MP200,Transcribed,Monument to the Black American Soldiers (Buried at Congo Square),Washington Square (Congo Square),19148,24,MP200_0001.jpg,"Monument to the courageous black soldiers

A plaque & tour of the rich cultural history of Washington Square as it was shaped and influenced by the African American community in Philadelphia.","African Americans, Armed Forces, History, Philadelphia","Interactive, Plaque","black soldiers, tour",,,,,,
5074,,Washington Square,WS164,Transcribed,Leisure Steps,Rittenhouse & Washington Squares,19132,35,WS164_0001.jpg,"-Performance space for busters & special events 

-'Loiter-friendly' seating permitting boomboxes, smoking, pets, skateboarders, etc.

-Ampitheatre-like structure for sound 

-Graffiti-friendly surfaces encouraging street artist contributions (similar to FDR skate park)

-Goal: to be a monument to street culture","Culture, Music, Philadelphia","Interactive, Space, Graffiti, Performance","performance, loiter, graffiti, street artist, skate park, street culture",Zena McDowell,#NAME?,,,,
5073,,Marconi Plaza,MP199,Transcribed,What a Gem (Monument to Jeweler's Row),Jewelers Row !,19148,24,MP199_0001.jpg,"-A pile of gemstones in different cuts (princess, square cut, round etc) as well as deconstructed ring bands made from Aluminum or steel powder coated in colorful shades of purple (or colors in general)



Jewelry, Diamonds, Casting

Jewelers row!","Art, Neighborhoods, Philadelphia",Sculpture Statue,"jewelers row, jewelers' row, jewelry, center city, gemstone, ring, preservation",,,skovesart,#savejewlersrow,,
5072,,,,,Ns183 0001,,,,ns183_0001.jpg,,,,,,,,,,
5071,,Norris Square,NS183,Transcribed,Emoji,,,12,ns183_0001.jpg,,Pop Culture,"Other No Form, Image",emoji,,,,,,
5070,,Penn Treaty Park,PT425,Transcribed,Ben Franklin,The rose garden,19106,10,PT425_0001.jpg,Benjamin Franklin [statue],"Figure, History, Philadelphia",Sculpture Statue,"ben franklin, rose garden",Cobrin Stanish,,,,,
5069,,Logan Circle,LS192,Transcribed,Chasing my cheesteak,?,19131,16,LS192_20171112_0001.jpg,An eagle stealing a mans cheese steak,"Food, Philadelphia",Other No Form,"Philadelphia, Culture, Cheesesteaks",Percia,,,,Perciacat,
5068,,Logan Circle,LS191,Transcribed,Sneakers,A Empty Bus stop.,19131,16,LS191_20171112_0001.jpg,Bronze/gold sneaker on a whire,,Sculpture Statue,"Sneakers, Philadelphia, Culture",Percia,,,,Perciacat,
5067,,Marconi Plaza,MP198,Transcribed,Lets Talk About It,Everywhere,19140,32,MP198_0001.jpg,"More Information 

Less of The Problem 

Division is a bad Decision","Inclusivity, Unity",Other No Form,Inclusivity,,,dfmdaartist,,,
5066,,Logan Circle,LS190,Transcribed,Box/Wall of Clarity,A park/square where a lot of people are,19010,18,LS190_20171112_0001.jpg,It would be really cool to have a blank structure/ box where people could add their own notes- sayings and phrases. In that way the monument is the product of the community's voice.,"Inclusivity, Unity","Interactive, Space",Interactive,Grace Sue,"Wall

or a box/glass box",,,,
5065,,Logan Circle,LS189,Transcribed,unity,anywhere accessible,19144,22,LS189_20171112_0001.jpg,#NAME?,Unity,"Digital, Interactive","Unity, Interactive",India Mayo,,,,,
5064,,Logan Circle,LS188,Transcribed,Park Improvements,All,19124,40,LS188_20171112_0001.jpg,"*water fountins not just a box desing water fountin 

*locked bathrooms not just box desing building

*lighting 

*senting 

*shades

*all in one seating/sade/ligthig 

*water for pets 

*free public parking for Sunday 24 hr limit then tickets 

*911 box/ emerg. box","Philadelphia, Sanitation","Fountain, Infrastructure, Space",Park Improvements,Theresa #ThereaSummer,,,,,
5063,,Logan Circle,LS187,Transcribed,Fountain of Brotherly love,Penn trity Park,19124,19,LS187_20171112_0001.jpg,Have a fountain built somewhere within the park with benches and tables for people to gather,"Brotherly Love, Unity","Fountain, Bench","Fountain, Brotherly Love",Robert Dominguez,,,,,
5062,,Logan Circle,LS186,Transcribed,Monument Sharif,Bouvier Street,19132,9,LS186_20171112_0001.jpg,My monument is about me. Because I am awesomness,,Sculpture Statue,,Sharif,"-me

2008-",,,,
5061,,Logan Circle,LS185,Transcribed,goldin cheese burger,in the grass,19052,8,LS185_20171112_0001.jpg,,Food,Sculpture Statue,"Food, Cheeseburger",chc,,,,,
5060,,Logan Circle,LS184,Transcribed,Liberty Fountain,In front of Art Museum,19072,53,LS184_20171112_0001.jpg,"a 24 hr musical fountain choriagraphed to Phila favorite music 

-Rocky Theme 

-Phila Freedom 

-Rida gospel

-national anthem etc 

with lights in fountain area

outdoor fire pits","History, Philadelphia","Fountain, Song Sound","Fountain, Music",Rob Duebles,,,,,
5059,,Logan Circle,LS183,Transcribed,Hamster,Room,19072,7,LS183_20171112_0001.jpg,,Animals,Space,"Hamster, Animals",Beau,A hamster in a cage,,,,
5058,,Logan Circle,LS182,Transcribed,Philly Penny Candy,Sporadic Places around Philly or (Old City),19131,16,LS182_20171112_0001.jpg,Because my nune told me stories about getting penny candy when she was younger.,"History, Philadelphia",Building,"Philadelphia, Penny Candy",Percia,Old School Philly Penny Candy,,,Perciacat,
5057,,Washington Square,WS163,Transcribed,Double Car,,19145,6,WS163_0001.jpg,,Family,Other No Form,"mommy, daddy, automobiles",Anja,#NAME?,,,,
5056,,Washington Square,WS162,Transcribed,Momument,Mommy Hall,19145,6,WS162_0001.jpg,,Family,Other No Form,mommy,Anja,#NAME?,,,,
5055,,Penn Treaty Park,PT424,Transcribed,The Cheesesteak,South Philly,2045,36,PT424_0001.jpg,"Basically a giant cheesesteak but in chrome-plated steel. Big, like 40 ft long by 12 ft high","Food, Philadelphia",Sculpture Statue,"Philadelphia, Culture, Cheesesteaks, Food",,,,,savagehermit,
5054,,Norris Square,NS178,Transcribed,Jaidon Rodriguez,Norris Square,19125,13,ns17_0002.jpg,#NAME?,Unknown,Playground,"Jungle Gym, Park",,,,,crashboy_jay21,
5053,,Norris Square,NS180,Transcribed,Nasem Sels,norris square,19124,13,ns17_0003.jpg,Put a better basket ball courts and a jungle gim,Sports,Playground,"Jungle Gym, Basketball Courts, Parks",,,,,crashboynas,
5052,,Norris Square,NS181,Transcribed,Tymon Brown,norris square park,19124,15,ns17_0001.jpg,Put in better basketball courts,Sports,Playground,"Basketball Courts, Park",,,1x.tayyy,,,
5051,,Penn Treaty Park,PT423,Transcribed,No place for hate,Penn traty right side next to water,19125,8,PT423_0001.jpg,,"Unity, Love",Other No Form,"Love, Unity, Anti-hate",Melaney,No Place for hate,,,,
5049,,Penn Treaty Park,PT422,Transcribed,zombie rock wall,pen threetee park,457,6,PT422_0001.jpg,,Unknown,Interactive,Zombies,Brigid Mcateer,,,,,
5048,,Washington Square,WS161,Transcribed,"Patti Labelle, Tammi Terrel, Dick Clark",uptown theater,19145,47,WS161_0001.jpg,"Patti Labelle - Broad St

Tammi Terrel- uptown theater

Dick Clark- in front of old WPVI studio West Philly","Figure, Music, Philadelphia, Pop Culture",Other No Form,"Patti Labelle, Dick Clark, Tammi Terrell",Eric Kwasnjuk,,,,,
5047,,Washington Square,WS160,Transcribed,Park over Vine,Vine St. Express Way,19106,26 - 6,WS160_0001.jpg,,Unknown,Park,,Marc,,,,,
5046,,Penn Treaty Park,PT421,Transcribed,Slack Line Park,,8542,26,PT421_0001.jpg,"Belmont Plateau is perfect example but the trees are too young. 

-eye bolt 

-slackline

-buried concrete

-A-frame (not provided)

50-500 ft",Unknown,"Interactive, Tree, Park","Skyline, Parks",Ross Kerner,,,,,
5045,,Penn Treaty Park,PT420,Transcribed,Tidal Measuring Wall,Penn Treaty Park,19125,61,PT420_0001.jpg,Make a wall out of recycled shipping steel. Mark it as tide comes and goes in a creative way. Mark with a sculpture of a fish (catfish),"Environment, Philadelphia",Sculpture Statue,"Measuring Wall, Recycled",Frank,,,,,
5044,,Washington Square,WS159,Transcribed,Bumblebee,Clark Park,19468,5,WS159_0001.jpg,,Animals,Other No Form,,,,,,,
5043,,Penn Treaty Park,PT419,Transcribed,//Let There Be Light//,Penn treaty Park,19125,31,PT419_0001.jpg,Old school lanterns lining the paths at the park,Philadelphia,Walkway,Light Lanterns,Kim,,,,,
5042,,Penn Treaty Park,PT418,Transcribed,Park Improvement,penn treaty,19124,40,PT418_0001.jpg,"Bathrooms, shade areas, lighting, tables, benches, water fountains, color, flowers, game tables = chess/checkers and more! Park is too plane.",Philadelphia,"Fountain, Park, Bench",Park Improvement,Theresa #Theresa Summer,,,,,
5041,,Logan Circle,LS181,Transcribed,TAG line,Visitor's Center,19103,67,LS181_20171112_0001.jpg,Philadelphia Loves Freedom,"History, Philadelphia, Freedom","Audio, Image","Philadelphia, Freedom",Shirley Palascak,"-Tag line: Philadelphia loves Freedom, it's revolutionary!

-block letters

-inside o: different faces of all races 

-inside o: audio or photos revolutionary photos Liberty Bell, soldiers, etc.",,,,
5040,,Penn Treaty Park,PT417,Transcribed,Monument to Stock's Bakery,Lehigh Ave,18073,10,PT417_0001.jpg,Stock's Bakery on Lehigh,"Food, Philadelphia","Sculpture Statue, Obelisk","Stock's, bakery, food",Jared,"Bronze statue of bread.

-poundcake 

-obelisk",,,,
5039,,Logan Circle,LS180,Transcribed,Savin Funeral Home,12 & Fairmount,19130,37,LS180_20171112_0001.jpg,"In memory of my beloved brother Arthur Littlejohn, whom was memorialized",Family,Memorial,"brother, family, memorial",wileyrobinson7@gmail.com,,,,,
5038,,Logan Circle,LS179,Transcribed,We The People,Center City Love Park,19104,32,LS179_20171112_0001.jpg,,Unity,Other No Form,,Kenneth Dubose,,,,,
5037,,Penn Treaty Park,PT415,Transcribed,Monument to My First Kiss,Penn Treaty Park,19073,74,PT415_0001.jpg,"First bench by the wall of the electric factory 

Elenor",Love,Bench,"First Kiss, Romance",Joe Seifried,,,,,
5036,,Penn Treaty Park,PT414,Transcribed,Riverwalk & water taxi stops,Penn Treaty/ Waterfront,19123,23,PT414_0001.jpg,Require River Access & Path construction,Philadelphia,"Infrastructure, Space, Walkway",,Andrea Cassidy,"1. River walk

2. create a native people fishing platforms 

3. Path",,,,
5035,,Penn Treaty Park,PT416,Transcribed,"Philadelphia, The Electric City",Penn Treaty,8073,,PT416_0001.jpg,This sign was on the roof of the Power Station. Ships used it as a marker as the came down the Delaware.,Philadelphia,Billboard,Electric City,Joe Seifried,"//Philadelphia, The Electric City//",,,,
5034,,Washington Square,WS158,Transcribed,*Future PHL,Solar States HQ - Fishtown,19147,33,WS158_0001.jpg,Monument of a solar panel/ something creates renewable energy to power a screw/ how to be sustainable,"Environment, Sustainability",Other No Form,"Environment, Sustainability, Energy",Julie Hanch,,,,greenphillyblog,
5033,,Marconi Plaza,MP197,Transcribed,[Untitled],,19121,-,MP197_0001.jpg,Let do a complete overhaul of the Histical Commsion 1st to 90 is our local developer Same Sam Serwood Spring Gondor SJ,Unknown,Other No Form,historical commission,,,,,,
5032,,Malcolm X Park,MX251,Transcribed,[Untitled],,19143,13,mx251_0001.jpg,,"Class Structure, Inequality",Other No Form,,Maya,,,,,
5031,,Malcolm X Park,MX250,Transcribed,Philly,In Malcolm X Park,19143,16,mx250_0001.jpg,,"Brotherly Love, Philadelphia",Other No Form,Brotherly Love;,Michael #Pinest,"Philly 

Brotherly Love",,,,
5030,,Washington Square,WS157,Transcribed,A horse,Washington Square,19147,38,WS157_0001.jpg,A horse (without a general on it) who fought and died for our country,Animals,Memorial,"Country, History",,,,,,
5029,,Penn Treaty Park,PT413,Transcribed,Forest of Hammocks,Penn Treaty Park,19140,40,PT413_0001.jpg,#NAME?,Unknown,Other No Form,"Recycle, Environment",Carlos Cartagela,,,,,
5028,,Washington Square,WS155,Transcribed,Fanatic - Phanatic,N.E. Philly - Roosevelt Blvd.,,35,WS155_0001.jpg,#NAME?,"Figure, Philadelphia, Sports",Sculpture Statue,"sports, Philadelphia, Phanatic, Phillies, baseball",,,,,robert_nally,
5027,,Washington Square,WS156,Transcribed,Brick City,??,19125,35,WS156_0001.jpg,A monument to the bricks that built Philly and so many of its buildings & houses. Especially the row home !,"Architecture, Philadelphia",Sculpture Statue,"History, Philadelphia",Whitney Barnebay,But in the shape of the LOVE statue.,,,wbool,
5026,,Washington Square,WS153,Transcribed,[Untitled],Chinatown (Anywhere),19382,46,WS153_0001.jpg,"A big flagstone area where Qigong and Taiji classes are held for folks to do and to learn. There's a lot of wonderful teachers who could do scheduled classes, and the gentle, mellow exercises can be done by tourists, passer-by, and office workers without getting sweaty or having to change clothes (Yoga is great, but it's harder to do lunchtime yoga)",Sports,Space,Sports,,,,,,
5025,,Washington Square,WS152,Transcribed,Stoops,Various neighborhoods,19128,43,WS152_0001.jpg,#NAME?,"History, Neighborhoods, Philadelphia",Sculpture Statue,"Neighborhoods, Stoops",Amy Vilas,,,,,
5024,,Washington Square,WS154,Transcribed,[Untitled],,19147,41,WS154_0001.jpg,jungle gym of Philly landmarks,Philadelphia,Playground,"Philadelphia, Landmarks",Cat Smith,,,,,
5023,,Washington Square,WS151,Transcribed,Byberry Monument,Byberry Asylum area,19116,19,WS151_0001.jpg,Sculpture dedicated to former patients of the asylum,"Health, History",Sculpture Statue,"Medicine, patients, Byberry",Laura Bonacci,,,,illuminaca,
5022,,Malcolm X Park,MX249,Transcribed,[Untitled],West Philadelphia,19143,29,mx249_0001.jpg,A mural of poverty with change,"Class Structure, Inequality","2D, Mural",Poverty,Dennis Stewart,,,,,
5021,,Penn Treaty Park,PT412,Transcribed,House of Windows Pt. 2,Somewhere where it can be seen w/ lots of people,19149,16,PT412_0001.jpg,A monument of a giant house filled with windows. Each window being in different colors. Behind each window there will be telling a story. For example one window demonstrating everyone's stereotype on a certain person's race of family. And the other window what it's actually like behind the window. Demonstrates stereotypes on ethnicity's and the way society thinks then what actually happens behind closed doors (windows). Everyone would be able to see what's happening behind the windows and realize the way society thinks.,"Family, Race Ethnicity",Sculpture Statue,"Ethnicity, Stereotypes, Society",Mayeli Mejia,,,,,
5020,,Penn Treaty Park,PT411,Transcribed,Harmony + The House of Winds,Penn Treaty Park / The World,19119,43,PT411_0001.jpg,"I propose that Aja Johnson, who proposed PT381 (House of Many Windows) collaborates with Harmony, who proposed PT366 (Gaga rainbow) and make an amazing project/world together.",Unknown,Other No Form,,AC,,,,,
5019,,Penn Treaty Park,PT410,Transcribed,All Welcome,5th Sumerset,19115,50,PT410_0001.jpg,,"Religion, Unity",Other No Form,Religion,Helysel Gonzalez,All Welcome,,,,
5018,,Penn Treaty Park,PT409,Transcribed,Lady Day,Academy of Music,19115,18,PT409_0001.jpg,An exhibition on dedicated to the memory and legend of Billie Holiday,"African Americans, Figure, History, Music, Philadelphia",Museum,"Billie Holiday, Music, History, African American",Eliazer Gonzalez,,,,,
5017,,Logan Circle,LS178,Transcribed,The Churned & the Burned,"location of 'the bottom', the neighborhood destroyed to make way for UPENN - also the birthplace of modern gentrification",19143,46,LS178_20171109_0001.jpg,"eternal flame



dedicated to the history & people & places discarded for progress","History, Neighborhoods, Philadelphia, Gentrification",Sculpture Statue,"Gentrification, West Philadelphia, Penn, flames, burning, progress, Black Bottom",,,hanleybrand,,,
5016,,Logan Circle,LS177,Transcribed,the Monument,Academy of Natural Sciences,19143,6,LS177_20171109_0001.jpg,#NAME?,Architecture,"Building, Other No Form",Buildings,Zay,,,,,
5015,,Logan Circle,LS175,Transcribed,Friends,Anywhere,19038,12,LS175_20171109_0001.jpg,It will be a group of people playing around like friends,"Unity, Uplifting",Other No Form,Youth,Jon,,,,,
5014,,Logan Circle,LS176,Transcribed,No Trump,on top of Museum,19006,14,LS176_20171109_0001.jpg,Big trump head w/ x on his face,"Figure, Politics",Other No Form,"Trump, Politics",Anna,,,,,
5013,,Logan Circle,LS174,Transcribed,tree of U.S.A.,parkway,19006,13,LS174_20171109_0001.jpg,Have branches with flags of each states flag,Unity,Tree,United States,Sean,,,,,
5012,,Logan Circle,LS173,Transcribed,Engeenering,Near the Franklin Institute,19006,12,LS173_20171109_0001.jpg,Two people talking about making something,Technology,Other No Form,"Collaboration, Innovation, Engineering",Jordan Creberman,,,,,
5011,,Logan Circle,LS172,Transcribed,The Biggest Bird,New York,19090,13,LS172_20171109_0001.jpg,Really big Bird,Animals,Other No Form,Animals,Chris,,,,,
5010,,Logan Circle,LS171,Transcribed,Coppa Cabana,where ever you like,19001,11,LS171_20171109_0001.jpg,,Unknown,Building,,Felicia Bee,"Monument 

Coppa Cabana",,,,
5009,,Washington Square,WS150,Transcribed,"Baby, it's cold outside",everywhere!,,18-23,WS150_0001.jpg,Outdoor heaters to make public spaces warm in the winter.  People can design them and they'll be pretty so they're both functional and aesthetically pleasing.,Environment,Interactive,Environment,Washington Sq Labteam,,,,,
5008,,Malcolm X Park,MP196,Transcribed,Mark Twain,Girad,18124,19,MP192_0002.jpg,he was an innovator who had a different way of thinking. His compassion and ideas made for inspiring stories and changed my views on a lot. //Who prays for the one who needs it the most? Who prays for the devil?//,"Art, Figure, History",Other No Form,Mark Twain,Justice Franklin,,,,,
5007,,Marconi Plaza,MP195,Transcribed,Equality,Penns Landing,19120,23,MP192_0001.jpg,"Love everyone equaly no matter age, race, or lifestyle",Love,Other No Form,"Love, equality",Brandon C Riguelmy,,,,,
5006,,Penn Treaty Park,PT408,Transcribed,Guardian Angel,Penn Treaty Park,19111,46,PT408_0001.jpg,"Or like contemporary military soldiers standing guard of the park, the animals + the community","Armed Forces, Neighborhoods, Philadelphia",Sculpture Statue,"guardian angel, protection",Eddie Rodriguez,,,,,
5005,,Penn Treaty Park,PT407,Transcribed,Omar Carabollo,Penn treaty park,19140,42,PT407_0001.jpg,Keep nature at best,Environment,Other No Form,Environment,,,,,,
5004,,Logan Circle,LS170,Transcribed,Kanye for change,20th and ben frank,19121,28,LS170_20171109_0001.jpg,Old Kanye  New Kanye,"Figure, Music, Pop Culture",Other No Form,"Music, Kanye West",Daniel Masaya,,,,,
5003,,Logan Circle,LS169,Transcribed,Underground slave,Residential,19107,50,LS169_20171109_0001.jpg,,"African Americans, History, Human Rights",Other No Form,,Avery Gaffary,,,,,
5002,,Washington Square,WS149,Transcribed,Malcolm X,Malcolm X Park,19143,21,WS149_0001.jpg,Life-size statue of Malcolm X,"African Americans, Figure, History, Human Rights, Politics",Sculpture Statue,"History, Malcolm X",Latone Reaves,,,,,
5001,,Malcolm X Park,MP194,Transcribed,the lieni lenope,Soth Philly,,8,MP192_0002.jpg,a wigwam is a tradishinel house for the lenope,"History, Native Americans",Building,"Lenni Lenape, Lenape, Native American, Wigwam, Home, House",Itzela Wilay,,,,,
5000,,Marconi Plaza,MP193,Transcribed,[Untitled],Percy Street,,15 yrs old,MP192_0001.jpg,"[I was 'Baptised' in my mothers religion of buddhism when I was an infant and I follow the Buddhist religion]



Drawing: 

Thai budhist monk

Baby me

mom

Dad



Anya McAtter",Religion,Other No Form,"Buddhism, monk, spirituality",Anya McAtter,,,,,
4999,,Norris Square,NS17,Transcribed,For Henry,Outside the Vigilance Committee (Where??),19122,28,ns17_0001.jpg,"This is the size of the Box that Henry Brown used to ship himself to to Philly from VA to escape slavery



2' x 2'8// x 3'","African Americans, History, Philadelphia, Freedom, Race Ethnicity",Sculpture Statue,"slavery, Henry Brown, Vigilance Committee",,,@everybodycolors,,,
4998,,City Hall,CH1104,Transcribed,[Untitled],,,,CH1104_0001.jpg,"Rainbow cats w/ unicorn horns, please.","Animals, Art","Mural, Sculpture Statue, Other No Form",,,,,,,
4997,,City Hall,CH1103,Transcribed,Equality,Thomas Payne Plaza,46074,33,CH1103_0001.jpg,The monument would  be a Monopoly game - with the approx. 1/2 played (most places bought).  The visitors are then told to join the game...and win.  The goal is to demonstrate that equality (everyone joining w/the same $) does not equal the same ability to win the game.,"Art, Inequality","Event, Interactive, Sculpture Statue",Equality,,Equality,,,,
4996,,City Hall,CH1102,Transcribed,Sisyphus (Greek myth: Strength),West Philly,19143,23/31,CH1102_0001.jpg,Monument to Sisyphus who had to push the bolder up the hill; rep. people of Philly daily struggles. # persistance,"Unity, Uplifting",Sculpture Statue,,,SisyPhus (Greek myth: Strength),,,blindeivillianstyles // bjpfunk,
4995,,City Hall,CH1101,Transcribed,Verbal Monument,All over Philadelphia,19103,29,CH1101_0001.jpg,Philadelphia needs a verbal monument other than //Jawn//  Ya'll is better than jawn.  We need to do better than that.,"Culture, Philadelphia, Unknown","Audio, Interactive, Speech, Performance","Philadelphia, Culture",,Verbal Monument,,,,
4994,,City Hall,CH1100,Transcribed,Self Empowerment,Art Museum,7631,40,CH1100_0001.jpg,"Self Empowerment



(with picture of bike)","Philadelphia, Sports","Sculpture Statue, Bikepath",Self Empowerment,,Self Empowerment,mrgsworkshop,,,
4993,,Logan Circle,LS167,Transcribed,me and my rich house,Next to the Franklin institute,19144,9,LS167_20171105_0001.jpg,Me! my rich house. Rich House (drawing of a person standing next to a house),"Neighborhoods, Unknown",Building,"Money, Self, Rich, Wealth, Home, House, Me",Freedom,,,,,
4992,,Logan Circle,LS166,Transcribed,move,I Live,19120,5,LS166_20171105_0001.jpg,Felicia $1000,Youth,Sculpture Statue,,Felicia,,,,,
4991,,Logan Circle,LS168,Transcribed,the good cup,City Hall,19120,7,LS168_20171105_0001.jpg,PiOi Cup,Unknown,"Sculpture Statue, Other No Form",,Timair,,,,,
4990,,Penn Treaty Park,PT406,Transcribed,Pier in Penn Treaty,Penn treaty,191215,55,PT406_0001.jpg,Pier in Penn Treaty with Bathroom Pavilion N Pier,"Environment, Neighborhoods, Unknown","Infrastructure, Space, Walkway",,Patricia McDaniel,,,,,
4989,,City Hall,CH1099,Transcribed,Lex St,West Philadelphia,19139,,CH1099_0001.jpg,"As the sister of victim George Sig Porter from the Lex St. Massacre, I would love to see our mural of our loved ones mural on the grounds where it was since after 17 years there is still space to place it.  Philadelphia has paid more attention to the offenders or the Lucien Blackwell homes more than victims or our families & friends.  Lex street destroyed so many lives. I'm asking for help from the City of Philadelphia to help me heal and a whole community.  The city messed up the case so badly they had to bite the bullet which only made us suffer more.  We need a place to mourn and get together. We deserve a candle light vigil and memorial every year on December 28th","African Americans, Family, History, Human Rights, Neighborhoods, Philadelphia, Politics, Violence","Mural, Shrine, Memorial","Lex Street, Lex Street Massacre",#LexStreet,Lex Street,,,,
4988,,City Hall,CH1098,Transcribed,Lex Street,"Lex Street, West Philadelphia",19142,46,CH1098_0001.jpg,"On December 28, 2000, the biggest and the worst mass murder took place in Phila., Pa. on Lex St., Mill Creek Section in West Philadelphia.  This tragedy destroyed so many families and the community. The victims and their families should never be forgotten about. 10 shot and 7 dead.  In 2001 a mural was put up in remembrance of our loved ones but was removed within 2 years.  December 28, 2000 should be remembered as a day of peace.  Al lives matter.","Family, Neighborhoods, Philadelphia, Social Justice","Mural, Shrine, Sculpture Statue, Memorial","Lex Street, Lex Street Massacre",Rhonda #LexStreet,,,,,
4987,,Penn Treaty Park,PT405,Transcribed,Negative v.s Positive,,19134,19,PT405_0001.jpg,//Drugs// //911 Police// //LOVE//,Philadelphia,Conceptual,,Selene Thomas,,,,,
4986,,Penn Treaty Park,PT404,Transcribed,Now is the past,Northern libertys,19123,10 & 41,PT404_0001.jpg,A broken down ruin of a brick wall constructed like contemporary houses are today.  Approx. 10‰Ûª x 5‰Ûª ‰ÛÏNow is the past of the city that is yet to be‰Û�.,"Environment, Unknown, Sustainability","Building, Infrastructure, Space, Sculpture Statue",Philadelphia,Tora & Anne Albert,Now is the past,,,,
